nfotradingsymbol,tradingsymbol
NIFTY,NIFTY23DECFUT
BANKNIFTY,BANKNIFTY23DECFUT
AARTIIND,AARTIIND23DECFUT
ABB,ABB23DECFUT
ABBOTINDIA,ABBOTINDIA23DECFUT
ABCAPITAL,ABCAPITAL23DECFUT
ABFRL,ABFRL23DECFUT
ACC,ACC23DECFUT
ADANIENT,ADANIENT23DECFUT
ADANIPORTS,ADANIPORTS23DECFUT
ALKEM,ALKEM23DECFUT
AMBUJACEM,AMBUJACEM23DECFUT
APOLLOHOSP,APOLLOHOSP23DECFUT
APOLLOTYRE,APOLLOTYRE23DECFUT
ASHOKLEY,ASHOKLEY23DECFUT
ASIANPAINT,ASIANPAINT23DECFUT
ASTRAL,ASTRAL23DECFUT
ATUL,ATUL23DECFUT
AUBANK,AUBANK23DECFUT
AUROPHARMA,AUROPHARMA23DECFUT
AXISBANK,AXISBANK23DECFUT
BAJAJ-AUTO,BAJAJ-AUTO23DECFUT
BAJAJFINSV,BAJAJFINSV23DECFUT
BAJFINANCE,BAJFINANCE23DECFUT
BALKRISIND,BALKRISIND23DECFUT
BALRAMCHIN,BALRAMCHIN23DECFUT
BANDHANBNK,BANDHANBNK23DECFUT
BANKBARODA,BANKBARODA23DECFUT
BATAINDIA,BATAINDIA23DECFUT
BEL,BEL23DECFUT
BERGEPAINT,BERGEPAINT23DECFUT
BHARATFORG,BHARATFORG23DECFUT
BHARTIARTL,BHARTIARTL23DECFUT
BHEL,BHEL23DECFUT
BIOCON,BIOCON23DECFUT
BOSCHLTD,BOSCHLTD23DECFUT
BPCL,BPCL23DECFUT
BRITANNIA,BRITANNIA23DECFUT
BSOFT,BSOFT23DECFUT
CANBK,CANBK23DECFUT
CANFINHOME,CANFINHOME23DECFUT
CHAMBLFERT,CHAMBLFERT23DECFUT
CHOLAFIN,CHOLAFIN23DECFUT
CIPLA,CIPLA23DECFUT
COALINDIA,COALINDIA23DECFUT
COFORGE,COFORGE23DECFUT
COLPAL,COLPAL23DECFUT
CONCOR,CONCOR23DECFUT
COROMANDEL,COROMANDEL23DECFUT
CROMPTON,CROMPTON23DECFUT
CUB,CUB23DECFUT
CUMMINSIND,CUMMINSIND23DECFUT
DABUR,DABUR23DECFUT
DALBHARAT,DALBHARAT23DECFUT
DEEPAKNTR,DEEPAKNTR23DECFUT
DELTACORP,DELTACORP23DECFUT
DIVISLAB,DIVISLAB23DECFUT
DIXON,DIXON23DECFUT
DLF,DLF23DECFUT
DRREDDY,DRREDDY23DECFUT
EICHERMOT,EICHERMOT23DECFUT
ESCORTS,ESCORTS23DECFUT
EXIDEIND,EXIDEIND23DECFUT
FEDERALBNK,FEDERALBNK23DECFUT
GAIL,GAIL23DECFUT
GLENMARK,GLENMARK23DECFUT
GMRINFRA,GMRINFRA23DECFUT
GNFC,GNFC23DECFUT
GODREJCP,GODREJCP23DECFUT
GODREJPROP,GODREJPROP23DECFUT
GRANULES,GRANULES23DECFUT
GRASIM,GRASIM23DECFUT
GUJGASLTD,GUJGASLTD23DECFUT
HAL,HAL23DECFUT
HAVELLS,HAVELLS23DECFUT
HCLTECH,HCLTECH23DECFUT
HDFCAMC,HDFCAMC23DECFUT
HDFCBANK,HDFCBANK23DECFUT
HDFCLIFE,HDFCLIFE23DECFUT
HEROMOTOCO,HEROMOTOCO23DECFUT
HINDALCO,HINDALCO23DECFUT
HINDCOPPER,HINDCOPPER23DECFUT
HINDPETRO,HINDPETRO23DECFUT
HINDUNILVR,HINDUNILVR23DECFUT
IBULHSGFIN,IBULHSGFIN23DECFUT
ICICIBANK,ICICIBANK23DECFUT
ICICIGI,ICICIGI23DECFUT
ICICIPRULI,ICICIPRULI23DECFUT
IDEA,IDEA23DECFUT
IDFC,IDFC23DECFUT
IDFCFIRSTB,IDFCFIRSTB23DECFUT
IEX,IEX23DECFUT
IGL,IGL23DECFUT
INDHOTEL,INDHOTEL23DECFUT
INDIACEM,INDIACEM23DECFUT
INDIAMART,INDIAMART23DECFUT
INDIGO,INDIGO23DECFUT
INDUSINDBK,INDUSINDBK23DECFUT
INDUSTOWER,INDUSTOWER23DECFUT
INFY,INFY23DECFUT
IOC,IOC23DECFUT
IPCALAB,IPCALAB23DECFUT
IRCTC,IRCTC23DECFUT
ITC,ITC23DECFUT
JINDALSTEL,JINDALSTEL23DECFUT
JKCEMENT,JKCEMENT23DECFUT
JSWSTEEL,JSWSTEEL23DECFUT
JUBLFOOD,JUBLFOOD23DECFUT
KOTAKBANK,KOTAKBANK23DECFUT
L&TFH,L&TFH23DECFUT
LALPATHLAB,LALPATHLAB23DECFUT
LAURUSLABS,LAURUSLABS23DECFUT
LICHSGFIN,LICHSGFIN23DECFUT
LT,LT23DECFUT
LTIM,LTIM23DECFUT
LTTS,LTTS23DECFUT
LUPIN,LUPIN23DECFUT
M&M,M&M23DECFUT
M&MFIN,M&MFIN23DECFUT
MANAPPURAM,MANAPPURAM23DECFUT
MARICO,MARICO23DECFUT
MARUTI,MARUTI23DECFUT
MCDOWELL-N,MCDOWELL-N23DECFUT
MCX,MCX23DECFUT
METROPOLIS,METROPOLIS23DECFUT
MFSL,MFSL23DECFUT
MGL,MGL23DECFUT
MOTHERSON,MOTHERSON23DECFUT
MPHASIS,MPHASIS23DECFUT
MRF,MRF23DECFUT
MUTHOOTFIN,MUTHOOTFIN23DECFUT
NATIONALUM,NATIONALUM23DECFUT
NAUKRI,NAUKRI23DECFUT
NAVINFLUOR,NAVINFLUOR23DECFUT
NESTLEIND,NESTLEIND23DECFUT
NMDC,NMDC23DECFUT
NTPC,NTPC23DECFUT
OBEROIRLTY,OBEROIRLTY23DECFUT
OFSS,OFSS23DECFUT
ONGC,ONGC23DECFUT
PAGEIND,PAGEIND23DECFUT
PEL,PEL23DECFUT
PERSISTENT,PERSISTENT23DECFUT
PETRONET,PETRONET23DECFUT
PFC,PFC23DECFUT
PIDILITIND,PIDILITIND23DECFUT
PIIND,PIIND23DECFUT
PNB,PNB23DECFUT
POLYCAB,POLYCAB23DECFUT
POWERGRID,POWERGRID23DECFUT
PVRINOX,PVRINOX23DECFUT
RAMCOCEM,RAMCOCEM23DECFUT
RBLBANK,RBLBANK23DECFUT
RECLTD,RECLTD23DECFUT
RELIANCE,RELIANCE23DECFUT
SAIL,SAIL23DECFUT
SBICARD,SBICARD23DECFUT
SBILIFE,SBILIFE23DECFUT
SBIN,SBIN23DECFUT
SHREECEM,SHREECEM23DECFUT
SHRIRAMFIN,SHRIRAMFIN23DECFUT
SIEMENS,SIEMENS23DECFUT
SRF,SRF23DECFUT
SUNPHARMA,SUNPHARMA23DECFUT
SUNTV,SUNTV23DECFUT
SYNGENE,SYNGENE23DECFUT
TATACHEM,TATACHEM23DECFUT
TATACOMM,TATACOMM23DECFUT
TATACONSUM,TATACONSUM23DECFUT
TATAMOTORS,TATAMOTORS23DECFUT
TATAPOWER,TATAPOWER23DECFUT
TATASTEEL,TATASTEEL23DECFUT
TCS,TCS23DECFUT
TECHM,TECHM23DECFUT
TITAN,TITAN23DECFUT
TORNTPHARM,TORNTPHARM23DECFUT
TRENT,TRENT23DECFUT
TVSMOTOR,TVSMOTOR23DECFUT
UBL,UBL23DECFUT
ULTRACEMCO,ULTRACEMCO23DECFUT
UPL,UPL23DECFUT
VEDL,VEDL23DECFUT
VOLTAS,VOLTAS23DECFUT
WIPRO,WIPRO23DECFUT
ZEEL,ZEEL23DECFUT
ZYDUSLIFE,ZYDUSLIFE23DECFUT
