nfotradingsymbol,tradingsymbol,OPEN,HIGH,LOW
NIFTY,NIFTY24JANFUT,21729.9,21729.9,21610
AARTIIND,AARTIIND24JANFUT,660.55,660.55,648
ABB,ABB24JANFUT,4709.45,4853.7,4709.45
AUBANK,AUBANK24JANFUT,752.05,767.8,752.05
BAJAJFINSV,BAJAJFINSV24JANFUT,1674.05,1717.7,1674.05
BHEL,BHEL24JANFUT,203,203,194.2
GODREJPROP,GODREJPROP24JANFUT,2011.7,2072,2011.7
HAVELLS,HAVELLS24JANFUT,1387.25,1430,1387.25
HCLTECH,HCLTECH24JANFUT,1466.55,1466.55,1430.85
HINDUNILVR,HINDUNILVR24JANFUT,2613.8,2642.5,2613.8
INDIGO,INDIGO24JANFUT,2944.5,2995.2,2944.5
IRCTC,IRCTC24JANFUT,890.05,916.9,890.05
LTIM,LTIM24JANFUT,6159.95,6159.95,5987
MCX,MCX24JANFUT,3215.7,3215.7,3157.9
MUTHOOTFIN,MUTHOOTFIN24JANFUT,1440.75,1495.35,1440.75
NATIONALUM,NATIONALUM24JANFUT,139.4,139.4,131.6
SAIL,SAIL24JANFUT,123.35,123.35,119.1
SBILIFE,SBILIFE24JANFUT,1431.15,1448.45,1431.15
TATASTEEL,TATASTEEL24JANFUT,140.9,140.9,136
UBL,UBL24JANFUT,1803,1847.95,1803
